album,zanr
3583,Heartland Rock
3583,Piano Rock
3583,Singer/Songwriter
3612,Contemporary R&amp;B
3612,Dance-Pop
3612,Pop Rock
3612,Synth Funk
3675,Cinematic Classical
3675,Orchestral
3675,Sequencer &amp; Tracker
3675,Video Game Music
3770,Progressive Metal
3770,Thrash Metal
3781,Heavy Metal
3781,Thrash Metal
3783,Heavy Metal
3783,Technical Thrash Metal
3783,Thrash Metal
3799,Alternative Metal
3799,Alternative Rock
3799,Avant-Garde Metal
3799,Experimental Rock
3799,Funk Metal
3830,Death Metal
3830,Thrash Metal
3832,Death Metal
3832,Thrash Metal
3957,Country Rock
3957,Folk Rock
3957,Jam Band
3957,Jazz-Rock
3957,Psychedelic Rock
4000,Black Metal
4000,Death Metal
4012,Ambient
4012,Atmospheric Black Metal
4012,Dungeon Synth
4014,Ambient
4014,Ambient
4014,Atmospheric Black Metal
4014,Black Ambient
4014,Dungeon Synth
4052,Avant-Folk
4052,Freak Folk
4052,Progressive Folk
4052,Psychedelic Folk
4114,Black Metal
4114,Thrash Metal
4114,Viking Metal
4145,Heavy Metal
4145,NWOBHM
4193,Black Metal
4193,Symphonic Black Metal
4194,Symphonic Black Metal
4199,Death Metal
4201,Death Metal
4201,Progressive Metal
4201,Technical Death Metal
4202,Progressive Metal
4202,Technical Death Metal
4203,Progressive Metal
4203,Technical Death Metal
4204,Progressive Metal
4204,Technical Death Metal
4235,Berlin School
4235,Dark Ambient
4235,Dark Jazz
4235,Electronic
4235,Experimental
4235,Glitch
4235,Post-Industrial
4235,Spoken Word
4390,Jazz Fusion
4390,Jazz-Rock
4390,Progressive Rock
4418,Art Rock
4418,Avant-Garde Metal
4418,Baroque Pop
4418,Cocktail Nation
4418,Doo-Wop
4418,Easy Listening
4418,Exotica
4418,Experimental Rock
4418,Jazz-Rock
4418,Pop Rock
4418,Surf Rock
4418,Vocal Surf
4501,Heavy Metal
4501,Thrash Metal
4588,Avant-Garde Jazz
4588,Jazz Fusion
4588,Jazz-Rock
4596,Hard Bop
4596,Modal Jazz
4596,Post-Bop
4597,Jazz Fusion
4597,Jazz-Funk
4599,Chicago Soul
4599,Film Soundtrack
4599,Funk
4599,Psychedelic Soul
4600,Chicago Soul
4600,Funk
4600,Psychedelic Soul
4621,Reggae
4621,Roots Reggae
4648,Baroque Pop
4648,Pop Rock
4648,Psychedelic Pop
4648,Sunshine Pop
4649,Baroque Pop
4649,Pop Rock
4649,Psychedelic Pop
4649,Rock Opera
4650,Baroque Pop
4650,Mod
4650,Music Hall
4650,Pop Rock
4650,Psychedelic Pop
4650,Sunshine Pop
4651,Art Rock
4651,Glam Rock
4651,Hard Rock
4651,Music Hall
4651,Progressive Rock
4659,Funk
4659,Pop Soul
4659,Soul
4660,Funk
4660,Pop Soul
4660,Smooth Soul
4660,Soul
4859,Deep Soul
4859,Rhythm &amp; Blues
4859,Southern Soul
4869,Blues Rock
4869,Electric Blues
4869,Experimental Rock
4869,Garage Rock
4869,Psychedelic Rock
4871,Folk Pop
4871,Jazz Pop
4871,Singer/Songwriter
4878,Blues Rock
4878,Jazz-Rock
4878,Latin Rock
4878,Psychedelic Rock
4906,Atmospheric Sludge Metal
4906,Doom Metal
4906,Sludge Metal
4907,Atmospheric Sludge Metal
4907,Doom Metal
4907,Post-Hardcore
4907,Post-Rock
5030,Ambient
5030,Film Score
5030,Jazz
5030,New Age
5030,Progressive Electronic
5030,Space Ambient
5037,Hard Rock
5037,Heavy Metal
5037,Progressive Rock
5053,Drill and Bass
5053,IDM
5115,Ambient
5115,Krautrock
5115,Psychedelic Rock
5159,Thrash Metal
5160,Thrash Metal
5166,Heavy Metal
5166,Speed Metal
5168,Art Rock
5168,Avant-Prog
5168,New Wave
5168,New Wave
5168,Progressive Rock
5169,Brutal Death Metal
5169,Technical Death Metal
5200,Ambient Pop
5200,Contemporary R&amp;B
5200,Downtempo
5200,Neo-Soul
5200,Smooth Jazz
5200,Smooth Soul
5200,Sophisti-Pop
5268,New Wave
5268,Progressive Pop
5268,Sophisti-Pop
5268,Synthpop
5313,Glam Rock
5340,Acid Rock
5340,Hard Rock
5340,Heavy Psych
5340,Poetry
5340,Psychedelic Rock
5340,Space Rock
5386,Art Rock
5386,Comedy Rock
5386,Experimental Rock
5386,Neo-Psychedelia
5386,Psychedelic Folk
5386,Psychedelic Pop
5386,Psychedelic Rock
