album,izvajalec
601717,Wiener Philharmoniker
601717,Carlos Kleiber
602177,John Coltrane
603338,Artur Rubinstein
604041,Fela Kuti
604041,The Africa '70
625893,My Morning Jacket
626992,Tim Hecker
634014,Brand New
636623,Joanna Newsom
650730,Depeche Mode
661816,Dead Can Dance
690148,Kamelot
691058,Cecil Taylor
694802,Natural Snow Buildings
702978,Clint Mansell
703081,Neil Young
703081,Crazy Horse
707864,Basil Poledouris
712947,LCD Soundsystem
766532,Stars of the Lid
772221,Ground-Zero
786527,The Jimi Hendrix Experience
789451,Neil Young
789949,Black Sabbath
793441,Tatiana Nikolayeva
801167,Motörhead
836740,Laurie Anderson
842268,Krystian Zimerman
857996,Porcupine Tree
858756,Charles Mingus
863683,Jerry Lee Lewis
872173,Tenhi
891139,Charles Mingus Sextet with Eric Dolphy
901577,Sagopa Kajmer
923022,Violent Femmes
929689,Heaven & Hell
964277,Fishmans
964599,Daft Punk
968906,Vladimir Sofronitsky
972667,Opeth
999417,Various Artists
1008755,Queen
1019220,Animal Collective
1033745,Opeth
1039131,Berliner Philharmoniker
1039131,Herbert von Karajan
1052924,Radiohead
1064977,Burial
1088845,Wiener Philharmoniker
1088845,Konzertvereinigung Wiener Staatsopernchor
1088845,Karl Böhm
1088845,Edith Mathis
1088845,Júlia Hamari
1088845,Wiesław Ochman
1088845,Karl Ridderbusch
1094980,New York Philharmonic
1094980,Leonard Bernstein
1115450,Boris With Merzbow
1142511,The Knife
1154150,Esbjörn Svensson Trio
1168334,Grand Valley State University New Music Ensemble
1205408,目黒将司
1205413,目黒将司
1205413,田崎寿子
1205413,土屋憲一
1206880,Have a Nice Life
1225777,Metallica
1231218,Государственный камерный хор Министерства культуры СССР
1231218,Валерий Полянский
1263018,Portishead
1315243,Sixteen Horsepower
1326092,Wiener Philharmoniker
1326092,Carlos Kleiber
1414337,John Coltrane
1501671,John Mayer
1525373,Berliner Philharmoniker
1525373,Herbert von Karajan
1550515,David Gilmour
1670913,目黒将司
1712006,Bob Dylan
1763021,Between the Buried and Me
1793672,Buena Vista Social Club
1819704,Yosuke Yamashita Trio
1819704,大駱駝艦
1819704,Gerald Oshita
1894233,Mario Galaxy Orchestra
1894992,Mastodon
1895487,Jeff Beck
2068942,Chicago Symphony Orchestra
2068942,Georg Solti
2069058,Natural Snow Buildings
2110834,Leonard Cohen
2158656,David Wise
2192747,Sweet Trip
2325993,Big Star
2346950,Hijokaidan
2466366,Nirvana
2477939,Tom Petty & The Heartbreakers
2665585,Flying Lotus
2696633,Joanna Newsom
2829672,LCD Soundsystem
2896889,岡部啓一
2896889,石濱翔
2896889,帆足圭吾
2896889,隆文西村
3026355,The Brave Little Abacus
3026362,The Brave Little Abacus
3039913,Ween
3050748,Kanye West
3322739,Fleet Foxes
3377949,C418
3380439,The Beach Boys
3481999,Porcupine Tree
3513308,Evgeni Koroliov
3597082,Kendrick Lamar
3602159,Danny Brown
3659722,増田順一
3659722,一之瀬剛
3659722,佐藤仁美
3805982,Lil Ugly Mane
3873725,Swans
3892102,Death Grips
3905558,Fiona Apple
4040583,Frank Ocean
4354997,Freddie Gibbs & Madlib
4568422,Kanye West
4646591,Bob Dylan
4648303,Tim Hecker
4700253,Grateful Dead
4818053,青葉市子
4934447,Neil Young
4986488,C418
5196775,Swans
5200146,青葉市子
5287875,LCD Soundsystem
5583989,Queen
5785582,Bob Dylan and The Band
6053920,D'Angelo and The Vanguard
6136253,Sufjan Stevens
6286502,Kendrick Lamar
6542513,Ryan Amon
6579129,Widdly 2 Diddly
6767613,Toby &#34;Radiation&#34; Fox
6778371,Bob Dylan
6793952,The Velvet Underground
6847528,Death Grips
6853748,David Bowie
7048527,Car Seat Headrest
7381986,Radiohead
7391195,Thee Oh Sees
7522584,Death Grips
7548871,Danny Brown
7572286,Pink Floyd
7630705,Frank Ocean
7646634,King Crimson
7724093,The KT Fellowship
7804852,A Tribe Called Quest
7851168,Bob Dylan
7998671,目黒将司
8021508,Mount Eerie
8048135,David Bowie
8082182,岡部啓一
8082182,帆足圭吾
8094725,Grateful Dead
8128922,David Bowie
8143331,Valve Studio Orchestra
8176770,Sufjan Stevens
8291404,Swans
8313423,Angelo Badalamenti
8410429,"Tyler, the Creator"
8440075,The Replacements
8618385,Mach-Hommy
8778911,Frank Ocean
8786836,青葉市子
8786836,Jun Miyake
8786836,山本達久
8786836,Hitoshi Watanabe
8857731,Car Seat Headrest
9049220,David Bowie
9066870,片岡真央
9066870,岩田恭明
9066870,若井淑
9129504,Neil Young
9186703,Kids See Ghosts
9486927,Daughters
9578821,Bob Dylan
9616308,Bowie
9662313,King Krule
9753704,Earl Sweatshirt
9999224,Weyes Blood
10059163,Nirvana
10255382,"Tyler, the Creator"
10480242,Nirvana
10506478,Farazi v Kayra
10734616,Jeff Rosenstock
10989283,British Sea Power
11315319,青葉市子
11643355,The Microphones
12102815,The War on Drugs
12157822,King Gizzard and the Lizard Wizard
12556853,Neil Young
12556853,Crazy Horse
12984831,Little Simz
13491134,Injury Reserve
13517870,青葉市子
13762028,JPEGMAFIA
